time,epoch,lr,train_loss
2025-02-16 00:02:51.234877,0,2.1429e-05,0.08906263386178773
2025-02-16 00:12:07.605223,1,4.2857e-05,0.04447793972701779
2025-02-16 00:21:23.202058,2,6.4286e-05,0.02864304651630423
2025-02-16 00:30:37.809957,3,8.5714e-05,0.024914252596691503
2025-02-16 00:39:52.763232,4,0.00010714,0.02260261847767347
2025-02-16 00:49:07.029227,5,0.00012857,0.022197790304576616
2025-02-16 00:58:23.039406,6,0.00015,0.02105326415870151
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_center midfield,val_average_precision_bottom midfield,val_average_precision_top midfield,val_average_precision_bottom corner,val_average_precision_top corner,val_average_precision_bottom box,val_average_precision_edge of the box,val_average_precision_top box,val_binary_accuracy,val_binary_accuracy_center midfield,val_binary_accuracy_bottom midfield,val_binary_accuracy_top midfield,val_binary_accuracy_bottom corner,val_binary_accuracy_top corner,val_binary_accuracy_bottom box,val_binary_accuracy_edge of the box,val_binary_accuracy_top box
2025-02-16 01:17:18.038625,0,0.0001497,0.020943009681056297,0.03255767642707754,0.8583993961632158,0.9437483857201229,0.9255450702113636,0.9391019937933117,0.843683767095645,0.7762706870814219,0.825331792571143,0.868391768729726,0.7451217041029923,0.9597424042272127,0.9096433289299868,0.9474240422721268,0.9424042272126817,0.9735799207397622,0.9746367239101718,0.9730515191545575,0.978335535006605,0.9788639365918098
2025-02-16 01:31:24.715833,1,0.00014881,0.020287377274547304,0.037314185484530665,0.8535902895135324,0.9278855858508738,0.9348928602595221,0.949789601971376,0.8720078297173578,0.7625460486395514,0.8153332508284663,0.8414421538677415,0.7248249849733709,0.9584214002642008,0.9025099075297226,0.9434610303830911,0.9453104359313078,0.9717305151915456,0.9754293262879788,0.9749009247027741,0.9759577278731836,0.9780713342140026
2025-02-16 01:45:29.139702,2,0.00014732,0.02112563950187,0.03452831173821588,0.8708494941830397,0.9423390118070457,0.9210400672308892,0.9500391391228744,0.876389538869762,0.7966843867871353,0.8622247438402418,0.877221695516091,0.7408573702902775,0.9620871862615588,0.9125495376486129,0.9447820343461031,0.9495376486129459,0.9762219286657859,0.9772787318361955,0.9788639365918098,0.978335535006605,0.9791281373844122
2025-02-16 01:59:35.039421,3,0.00014527,0.02043781670419417,0.03771877051330795,0.8632226268295522,0.9367789213560836,0.9141639288130562,0.948466979148083,0.8753498902077744,0.8014526567350759,0.8549029128719824,0.8617760389886295,0.712889686515732,0.9587846763540291,0.9075297225891678,0.9336856010568032,0.9508586525759577,0.971994715984148,0.9775429326287979,0.9778071334214002,0.9764861294583884,0.9743725231175694
2025-02-16 02:13:39.212834,4,0.00014265,0.019995511847665848,0.03500297964570607,0.8594763296849497,0.9399600227761069,0.9287496911280243,0.9561780544469226,0.8758460545902568,0.7287982624708755,0.866649339948177,0.839166015347448,0.7404631967717863,0.9599405548216645,0.907001321003963,0.9394980184940555,0.9535006605019815,0.9746367239101718,0.9722589167767504,0.9788639365918098,0.9772787318361955,0.9764861294583884
2025-02-16 02:27:42.474276,5,0.00013949,0.01928962985294309,0.04001714791932837,0.854094756690494,0.9351359882956781,0.9132339389064297,0.9503320446181106,0.8734383994890336,0.7548611441262429,0.8499622315884948,0.8367415090394762,0.7190527974604852,0.9573976221928666,0.9011889035667107,0.9410832232496698,0.9461030383091149,0.9709379128137384,0.9730515191545575,0.974108322324967,0.9767503302509908,0.9759577278731836
2025-02-16 02:41:47.011332,6,0.00013582,0.01856551158712926,0.04049036356565016,0.8595603570395844,0.9194702538726456,0.9108984168709606,0.943747113130591,0.872448778522633,0.7891486119853862,0.8421953083804651,0.8301120816446819,0.7684622919093123,0.9581571994715984,0.8988110964332893,0.9429326287978864,0.9429326287978864,0.9712021136063408,0.9751651254953765,0.9775429326287979,0.9770145310435931,0.9796565389696169
2025-02-16 02:55:52.117234,7,0.00013167,0.01879417201806974,0.04185896347747272,0.8413491805787654,0.9307643862274647,0.9115623783093731,0.948272935502806,0.8558567924443937,0.7356822192703015,0.8062534117233169,0.7876581015297279,0.7547432196227395,0.9591149273447821,0.9046235138705416,0.9455746367239102,0.9466314398943196,0.9749009247027741,0.9722589167767504,0.9759577278731836,0.9743725231175694,0.9785997357992074
2025-02-16 03:09:55.334088,8,0.00012706,0.01868599876098838,0.04564596391644582,0.8345966723620095,0.9258129921150116,0.9128656719440699,0.9373041459971008,0.8524306150176274,0.724994095403525,0.803537353110982,0.7863517770865036,0.7334767282212565,0.9560766182298547,0.8966974900924702,0.9434610303830911,0.9368560105680317,0.9738441215323645,0.9714663143989432,0.9738441215323645,0.9751651254953765,0.9772787318361955
2025-02-16 03:23:59.503734,9,0.00012204,0.0180213120123954,0.036377178080051815,0.8732590248343304,0.9354097915865365,0.9187433717699831,0.9369402151544076,0.8927019921578107,0.7885472226068269,0.861509699028088,0.8556292651562415,0.7965906412147494,0.9577278731836196,0.8993394980184941,0.9365918097754293,0.9357992073976222,0.9775429326287979,0.9785997357992074,0.9775429326287979,0.9751651254953765,0.9812417437252312
2025-02-16 03:38:03.374643,10,0.00011665,0.017887292860837994,0.044824575284831525,0.8410334647519506,0.9337868589765912,0.9071556570577107,0.9386563837352715,0.8808753074774822,0.740951129762909,0.8253099717560325,0.7891078931076166,0.7124245161419909,0.9559114927344782,0.9006605019815059,0.9379128137384413,0.935006605019815,0.9759577278731836,0.9725231175693527,0.9756935270805812,0.9735799207397622,0.9759577278731836
