time,epoch,lr,train_loss
2025-02-14 23:44:01.023983,0,2.1429e-05,0.11563082628635069
2025-02-14 23:53:16.284052,1,4.2857e-05,0.06580343140879018
2025-02-15 00:02:32.293377,2,6.4286e-05,0.054797659024091686
2025-02-15 00:11:46.644836,3,8.5714e-05,0.05362903546724314
2025-02-15 00:21:01.224438,4,0.00010714,0.0509472295033823
2025-02-15 00:30:16.198680,5,0.00012857,0.05086473217688026
2025-02-15 00:39:32.084562,6,0.00015,0.04862593305956882
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_right,val_average_precision_left,val_average_precision_0,val_binary_accuracy,val_binary_accuracy_right,val_binary_accuracy_left,val_binary_accuracy_0
2025-02-15 00:58:38.210223,0,0.0001497,0.04773541023385284,0.07715176191761294,0.8348613212869531,0.9508155995960661,0.9466431981904672,0.6071251660743262,0.9023295213892419,0.8747141041931386,0.864294790343075,0.967979669631512
2025-02-15 01:12:51.388553,1,0.00014881,0.047351254130160586,0.06992099804371193,0.8289504773856704,0.9627096701157601,0.9641259733450824,0.560015788696169,0.9160525201185937,0.8932655654383735,0.8861499364675984,0.9687420584498094
2025-02-15 01:27:05.585097,2,0.00014732,0.04586031365835028,0.06113787392926655,0.8782317874947504,0.9652456943158074,0.9739912260195928,0.6954584421488513,0.9235069885641677,0.887166454891995,0.910292249047014,0.9730622617534943
2025-02-15 01:41:18.919882,3,0.00014527,0.04377272387707493,0.0632933446498144,0.8742992236467395,0.9722378748924091,0.976038471963297,0.6746213240845126,0.9261329944938584,0.9072426937738246,0.9026683608640407,0.9684879288437103
2025-02-15 01:55:26.927583,4,0.00014265,0.04394183087671019,0.06792733408414411,0.8809227113928272,0.9730642225738918,0.983122603798585,0.6865813078060046,0.9329097839898348,0.9123252858958069,0.9168996188055909,0.9695044472681067
2025-02-15 02:09:35.440670,5,0.00013949,0.042429913015473435,0.06536458965608732,0.8687665967856741,0.9736307961200649,0.9789786658897374,0.6536903283472202,0.9318932655654385,0.9179161372299873,0.9095298602287166,0.9682337992376112
2025-02-15 02:23:41.797907,6,0.00013582,0.04192330404802735,0.0791739977036844,0.8744362518519888,0.9762974840499805,0.9757641886457993,0.6712470828601865,0.9260482846251588,0.9024142312579415,0.9049555273189327,0.9707750952986023
2025-02-15 02:37:50.330224,7,0.00013167,0.04151476834508747,0.055749945840529794,0.8846527608736493,0.9774750597210448,0.98236974543464,0.6941134774652631,0.9369758576874205,0.9123252858958069,0.9270648030495553,0.9715374841168997
2025-02-15 02:51:58.079202,8,0.00012706,0.041391229298067544,0.06586894909221169,0.8777750214194242,0.967834500663438,0.9818802166170993,0.6836103469777352,0.9280813214739517,0.89428208386277,0.9168996188055909,0.9730622617534943
2025-02-15 03:06:07.577766,9,0.00012204,0.03845892109618582,0.06845281545314888,0.8865245247691119,0.9774039053707915,0.9814490848674264,0.7007205840691179,0.9411266412537059,0.9237611181702668,0.9263024142312579,0.9733163913595934
2025-02-15 03:20:15.098775,10,0.00011665,0.03846243539569931,0.08038776503305091,0.8777124392854235,0.9768007095743063,0.9822363898250501,0.6741002184569145,0.93714527742482,0.9229987293519695,0.9184243964421855,0.9700127064803049
2025-02-15 03:34:23.076763,11,0.00011093,0.03824059013008079,0.09619194072657332,0.8760935040064776,0.979287524720892,0.973514594763232,0.6754783925353086,0.9319779754341381,0.9278271918678526,0.8970775095298602,0.9710292249047014
2025-02-15 03:48:32.292758,12,0.00010493,0.03658895245769245,0.06517410722743612,0.8918400763837039,0.9808996213240466,0.9842209660613546,0.7103996417657104,0.9456162642947904,0.931130876747141,0.9336721728081322,0.9720457433290979
2025-02-15 04:02:38.245274,13,9.8695e-05,0.03760270692382869,0.06172695327392445,0.9071749088791328,0.9813067805990141,0.984836523316069,0.7553814227223153,0.9440067767894961,0.9204574332909784,0.9397712833545108,0.9717916137229987
2025-02-15 04:16:45.024493,14,9.2272e-05,0.03478835063186117,0.06973186552386682,0.8918529763758699,0.9794882796450147,0.982414700286379,0.7136559491962159,0.9412113511224058,0.9095298602287166,0.9400254129606099,0.9740787801778907
2025-02-15 04:30:53.257927,15,8.5717e-05,0.03398934596861364,0.08394620265762937,0.8693015531986948,0.9804596188013599,0.9822877861391419,0.6451572546555826,0.9356204997882255,0.9118170266836086,0.921982210927573,0.9730622617534943
2025-02-15 04:45:02.471131,16,7.9081e-05,0.03338093849438398,0.08219643222950856,0.880498469091982,0.976698179179274,0.9841114326654695,0.6806857954312024,0.9350275307073274,0.9158831003811944,0.91715374841169,0.9720457433290979
2025-02-15 04:59:10.290549,17,7.2419e-05,0.033451445518027687,0.07142351915279219,0.8718850559017551,0.9801976247912492,0.9874429725874916,0.6480145703265247,0.9407878017789072,0.9174078780177891,0.9367217280813215,0.9682337992376112
2025-02-15 05:13:17.841947,18,6.5783e-05,0.03255099391141509,0.07798934293831597,0.8509039564224153,0.9766106260458797,0.9885078017096093,0.5875934415117573,0.9391783142736129,0.9166454891994917,0.9318932655654384,0.9689961880559085
2025-02-15 05:27:26.906713,19,5.9228e-05,0.03167045785116353,0.08253321539003007,0.8637067613903525,0.979569508148588,0.9845844923257019,0.6269662836967677,0.9410419313850064,0.9275730622617535,0.9260482846251589,0.9695044472681067
2025-02-15 05:41:35.003648,20,5.2805e-05,0.031416440840737705,0.09471315045615938,0.8810203599568247,0.9776286475401569,0.9796419156779492,0.6857905166523677,0.9342651418890301,0.9255400254129607,0.9067344345616264,0.9705209656925031
