time,epoch,lr,train_loss
2025-05-11 17:33:07.574865,0,2.1429e-05,0.12537903553599788
2025-05-11 17:42:48.585497,1,4.2857e-05,0.0920276525010059
2025-05-11 17:52:17.473010,2,6.4286e-05,0.06927352517247373
2025-05-11 18:01:46.940706,3,8.5714e-05,0.05800585166568253
2025-05-11 18:11:16.411640,4,0.00010714,0.05380899191550963
2025-05-11 18:20:47.899119,5,0.00012857,0.05246762703856402
2025-05-11 18:30:19.998570,6,0.00015,0.05131080197558996
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_right,val_average_precision_left,val_average_precision_0,val_binary_accuracy,val_binary_accuracy_right,val_binary_accuracy_left,val_binary_accuracy_0
2025-05-11 18:45:08.045859,0,0.00014909,0.051017627445577925,0.04785020851909453,0.930829273627035,0.9769509161279019,0.9702596468244247,0.8452772579287787,0.9281756180733162,0.9085677749360613,0.909846547314578,0.9661125319693095
2025-05-11 18:57:17.044579,1,0.00014637,0.04872191203252005,0.04968241193664355,0.9207184095483525,0.975840775443412,0.9691624417838454,0.8171520114178004,0.9279624893435635,0.90153452685422,0.9187979539641944,0.9635549872122762
2025-05-11 19:09:27.249732,2,0.00014191,0.04627524277729137,0.04563035514643968,0.9268992772835246,0.978264646155061,0.969580124027336,0.8328530616681769,0.9332907075873829,0.9175191815856778,0.9207161125319693,0.9616368286445013
2025-05-11 19:21:36.078434,3,0.00013582,0.04582224456677041,0.043376335194874764,0.931175539521688,0.9774926991812085,0.9793691117281188,0.8366648076557368,0.9379795396419438,0.9187979539641944,0.9335038363171355,0.9616368286445013
2025-05-11 19:33:55.923068,4,0.00012825,0.043495299514381386,0.04324693452132762,0.915998196889225,0.9792539549891603,0.9834491230638085,0.7852915126147063,0.944160272804774,0.9315856777493606,0.9411764705882353,0.9597186700767263
2025-05-11 19:46:13.553333,5,0.00011939,0.04290148092219648,0.04127496480651478,0.9270801755739763,0.9798963943660072,0.9846679298475803,0.816676202508341,0.9462915601023019,0.9277493606138107,0.9462915601023018,0.9648337595907929
2025-05-11 19:58:34.225990,6,0.00010946,0.040808600152880084,0.04257486233196835,0.9287259757773684,0.9831018257977345,0.9839844720334977,0.819091629500873,0.9422421142369991,0.9226342710997443,0.9418158567774936,0.9622762148337596
2025-05-11 20:10:51.167157,7,9.8695e-05,0.03948959074369581,0.04448098161689818,0.9238361921368314,0.9819814440405588,0.9849942649554965,0.8045328674144391,0.9345694799658993,0.9117647058823529,0.9258312020460358,0.9661125319693095
2025-05-11 20:23:09.532377,8,8.7365e-05,0.0379330404858521,0.043596892051923214,0.923132752479078,0.984218057063573,0.98762885346469,0.7975513469089711,0.9377664109121909,0.9194373401534527,0.9296675191815856,0.9641943734015346
2025-05-11 20:35:31.711445,9,7.575e-05,0.03576179107936347,0.04704558545945894,0.9238860307737008,0.982071958627497,0.986068992202175,0.8035171414914302,0.9384057971014492,0.9264705882352942,0.928388746803069,0.9603580562659847
2025-05-11 20:47:50.452547,10,6.4135e-05,0.03617592542063856,0.047229834043581935,0.9180015834170575,0.9828895938988759,0.9841773314491241,0.7869378249031722,0.9362745098039215,0.9245524296675192,0.9245524296675192,0.9597186700767263
2025-05-11 21:00:09.356431,11,5.2805e-05,0.0330952178908749,0.04852853386663725,0.9194876601595348,0.9807002550174935,0.9854737225684923,0.7922890028926184,0.9337169650468883,0.9130434782608695,0.9251918158567775,0.9629156010230179
2025-05-11 21:12:29.232226,12,4.2041e-05,0.03301563772491373,0.04685642652412241,0.9268135362051022,0.9830888896931863,0.9843262620296983,0.8130254568924221,0.9362745098039215,0.9130434782608695,0.9354219948849105,0.9603580562659847
2025-05-11 21:24:44.999349,13,3.2107e-05,0.03232581212018521,0.04975251495269338,0.9145715661386974,0.9839258450453602,0.9796646678191112,0.7801241855516209,0.9345694799658993,0.9111253196930946,0.9309462915601023,0.9616368286445013
2025-05-11 21:36:45.467855,14,2.3247e-05,0.03243446951969859,0.0510013890768843,0.9101949607007613,0.9821722671964099,0.9823211807714448,0.7660914341344292,0.9347826086956522,0.9143222506393862,0.9296675191815856,0.9603580562659847
2025-05-11 21:48:49.592797,15,1.568e-05,0.029609770086221374,0.048396994721737634,0.9183739145471842,0.9838091989308733,0.9830228690738548,0.7882896756368243,0.9381926683716966,0.9175191815856778,0.9367007672634271,0.9603580562659847
2025-05-11 22:00:55.145709,16,9.5928e-06,0.02990918769635943,0.04891810413050332,0.9235227057178208,0.98343701804429,0.9824704216460987,0.8046606774630737,0.9364876385336743,0.9162404092071611,0.9296675191815856,0.9635549872122762
2025-05-11 22:12:55.723932,17,5.1341e-06,0.030154059597945804,0.04871539436083104,0.9263053776347849,0.9831731836078905,0.9837071598261998,0.8120357894702646,0.9362745098039215,0.9162404092071611,0.9271099744245525,0.9654731457800512
2025-05-11 22:25:03.429547,18,2.4141e-06,0.02925818505683837,0.05002417211155895,0.9243645446816307,0.9835465676000028,0.9832335766199032,0.8063134898249861,0.9347826086956522,0.9136828644501279,0.9258312020460358,0.9648337595907929
2025-05-11 22:37:04.554958,19,1.5e-06,0.02853615910942239,0.04953507599140224,0.9242048282792131,0.9833722834017994,0.9838627027532415,0.8053794986825985,0.935848252344416,0.9156010230179028,0.928388746803069,0.9635549872122762
