time,epoch,lr,train_loss
2025-05-11 17:48:22.548885,0,2.1435e-05,0.1496111755650522
2025-05-11 18:04:23.615674,1,4.287e-05,0.12932541346995766
2025-05-11 18:20:17.264560,2,6.4306e-05,0.12373631683861522
2025-05-11 18:36:20.333163,3,8.5741e-05,0.12258491795289837
2025-05-11 18:52:22.027397,4,0.00010718,0.11574370179760875
2025-05-11 19:08:28.003500,5,0.00012861,0.10796337581323519
2025-05-11 19:24:28.956616,6,0.00015005,0.10520906359210541
time,epoch,lr,train_loss,val_loss,val_average_precision,val_average_precision_right,val_average_precision_left,val_binary_accuracy,val_binary_accuracy_right,val_binary_accuracy_left
2025-05-11 19:49:30.707914,0,0.00014913,0.10191668014524308,0.14882773263692461,0.7999741797929745,0.8289321361839802,0.7710162234019687,0.7155809267965078,0.7259905977165884,0.7051712558764271
2025-05-11 20:08:35.575700,1,0.00014641,0.09849446910817708,0.1511062065853531,0.8210533414311101,0.8461800671441233,0.795926615718097,0.7269979852249833,0.7293485560779046,0.7246474143720618
2025-05-11 20:27:45.605546,2,0.00014195,0.09369270374911733,0.14723291919510456,0.8475653954318122,0.868769735894628,0.8263610549689964,0.7609133646742781,0.7656145063801209,0.7562122229684352
2025-05-11 20:46:51.853602,3,0.00013585,0.08718199870340075,0.15589557199179507,0.8459887075444255,0.863511621877529,0.8284657932113221,0.7552048354600402,0.7602417730020148,0.7501678979180658
2025-05-11 21:06:02.553651,4,0.00012828,0.08279104361072774,0.14609350204411503,0.8604416039320308,0.8823374654626035,0.8385457424014581,0.7635997313633311,0.7703156480859638,0.7568838146406984
2025-05-11 21:29:40.127392,5,0.00011941,0.0843059573299155,0.1473664691370144,0.8614704655701872,0.8872182933745917,0.8357226377657827,0.7541974479516453,0.7649429147078576,0.7434519811954332
2025-05-11 21:59:18.026838,6,0.00010947,0.0821023716311181,0.13755872710857997,0.8817041825357683,0.8978525567765079,0.8655558082950287,0.7763599731363331,0.7857622565480188,0.7669576897246474
2025-05-11 22:29:08.273313,7,9.8697e-05,0.07755760071597978,0.14408721496154153,0.8711809283144336,0.8857953597857917,0.8565664968430756,0.7730020147750167,0.7750167897918065,0.770987239758227
2025-05-11 22:59:53.509693,8,8.736e-05,0.07598980137574764,0.14731775784877527,0.873379989852425,0.8871608333699008,0.8595991463349494,0.7693082605775688,0.7656145063801209,0.7730020147750168
2025-05-11 23:30:54.313136,9,7.5737e-05,0.07320602478394851,0.14451146437184914,0.8830784030790484,0.8965842124328242,0.8695725937252727,0.7787105439892545,0.770987239758227,0.7864338482202821
2025-05-11 23:58:46.842883,10,6.4115e-05,0.06870150528407373,0.176982126362042,0.8853279368668838,0.8932013422046111,0.8774545315291564,0.7840832773673606,0.783747481531229,0.7844190732034922
2025-05-12 00:26:41.898036,11,5.278e-05,0.06514684647120247,0.18389187960267434,0.886012525876312,0.8978166367304974,0.8742084150221265,0.7850906648757555,0.7918065815983881,0.7783747481531229
2025-05-12 00:54:41.257053,12,4.2012e-05,0.06444000495826743,0.1821714440604435,0.8781576604554182,0.8896454819122648,0.8666698389985715,0.7726662189388851,0.770987239758227,0.7743451981195433
2025-05-12 01:22:59.595740,13,3.2075e-05,0.06298452825374941,0.18001285449042292,0.8820961757565161,0.8909651110715656,0.8732272404414666,0.767293485560779,0.7669576897246474,0.7676292813969107
2025-05-12 01:51:21.750428,14,2.3216e-05,0.06032539438309831,0.17160769523708935,0.8868353016036845,0.8984738601217648,0.8751967430856042,0.7770315648085964,0.7756883814640698,0.7783747481531229
2025-05-12 02:19:46.103987,15,1.5651e-05,0.0580120717093526,0.1737278925507697,0.8896400478886022,0.8990405135243775,0.8802395822528268,0.7787105439892545,0.7756883814640698,0.7817327065144393
2025-05-12 02:48:14.448879,16,9.5673e-06,0.05862327680208894,0.175007783282695,0.8942755312339795,0.9015198559144533,0.8870312065535058,0.7897918065815983,0.7871054398925453,0.7924781732706514
2025-05-12 03:16:54.548254,17,5.115e-06,0.057142597893658914,0.17997082880375478,0.8961587600614804,0.9022220041249458,0.890095515998015,0.7907991940899932,0.7891202149093351,0.7924781732706514
2025-05-12 03:45:39.434674,18,2.4037e-06,0.05665819122590869,0.18226770143467613,0.8953501070430343,0.9017697101058934,0.8889305039801751,0.7897918065815983,0.7877770315648086,0.7918065815983881
2025-05-12 04:14:25.045856,19,1.5e-06,0.05568788092316342,0.18061773070089673,0.8965402385546211,0.9037695260535314,0.8893109510557108,0.7914707857622565,0.7877770315648086,0.7951645399597045
